FIPS,Year,State,ST,FIPS State,County,Population,Rate
1001,2015,Alabama,AL,1,"Autauga County, AL",55347,10.1-12
1003,2015,Alabama,AL,1,"Baldwin County, AL",203709,20.1-22
1005,2015,Alabama,AL,1,"Barbour County, AL",26489,6.1-8
1007,2015,Alabama,AL,1,"Bibb County, AL",22583,14.1-16
1009,2015,Alabama,AL,1,"Blount County, AL",57673,16.1-18
1011,2015,Alabama,AL,1,"Bullock County, AL",10696,8.1-10
1013,2015,Alabama,AL,1,"Butler County, AL",20154,8.1-10
1015,2015,Alabama,AL,1,"Calhoun County, AL",115620,12.1-14
1017,2015,Alabama,AL,1,"Chambers County, AL",34123,12.1-14
1019,2015,Alabama,AL,1,"Cherokee County, AL",25859,16.1-18
1021,2015,Alabama,AL,1,"Chilton County, AL",43943,18.1-20
1023,2015,Alabama,AL,1,"Choctaw County, AL",13170,10.1-12
1025,2015,Alabama,AL,1,"Clarke County, AL",24675,8.1-10
1027,2015,Alabama,AL,1,"Clay County, AL",13555,10.1-12
1029,2015,Alabama,AL,1,"Cleburne County, AL",15018,16.1-18
1031,2015,Alabama,AL,1,"Coffee County, AL",51211,8.1-10
1033,2015,Alabama,AL,1,"Colbert County, AL",54354,8.1-10
1035,2015,Alabama,AL,1,"Conecuh County, AL",12672,18.1-20
1037,2015,Alabama,AL,1,"Coosa County, AL",10724,12.1-14
1039,2015,Alabama,AL,1,"Covington County, AL",37835,8.1-10
1041,2015,Alabama,AL,1,"Crenshaw County, AL",13963,12.1-14
1043,2015,Alabama,AL,1,"Cullman County, AL",82005,10.1-12
1045,2015,Alabama,AL,1,"Dale County, AL",49565,12.1-14
1047,2015,Alabama,AL,1,"Dallas County, AL",41131,8.1-10
1049,2015,Alabama,AL,1,"DeKalb County, AL",71130,12.1-14
1051,2015,Alabama,AL,1,"Elmore County, AL",81468,6.1-8
1053,2015,Alabama,AL,1,"Escambia County, AL",37789,22.1-24
1055,2015,Alabama,AL,1,"Etowah County, AL",103057,16.1-18
1057,2015,Alabama,AL,1,"Fayette County, AL",16759,16.1-18
1059,2015,Alabama,AL,1,"Franklin County, AL",31696,18.1-20
1061,2015,Alabama,AL,1,"Geneva County, AL",26777,10.1-12
1063,2015,Alabama,AL,1,"Greene County, AL",8479,8.1-10
1065,2015,Alabama,AL,1,"Hale County, AL",15068,6.1-8
1067,2015,Alabama,AL,1,"Henry County, AL",17221,10.1-12
1069,2015,Alabama,AL,1,"Houston County, AL",104173,10.1-12
1071,2015,Alabama,AL,1,"Jackson County, AL",52419,10.1-12
1073,2015,Alabama,AL,1,"Jefferson County, AL",660367,16.1-18
1075,2015,Alabama,AL,1,"Lamar County, AL",13886,14.1-16
1077,2015,Alabama,AL,1,"Lauderdale County, AL",92596,10.1-12
1079,2015,Alabama,AL,1,"Lawrence County, AL",33115,14.1-16
1081,2015,Alabama,AL,1,"Lee County, AL",156993,6.1-8
1083,2015,Alabama,AL,1,"Limestone County, AL",91663,8.1-10
1085,2015,Alabama,AL,1,"Lowndes County, AL",10458,6.1-8
1087,2015,Alabama,AL,1,"Macon County, AL",19105,8.1-10
1089,2015,Alabama,AL,1,"Madison County, AL",353089,8.1-10
1091,2015,Alabama,AL,1,"Marengo County, AL",20028,6.1-8
1093,2015,Alabama,AL,1,"Marion County, AL",30168,8.1-10
1095,2015,Alabama,AL,1,"Marshall County, AL",94725,12.1-14
1097,2015,Alabama,AL,1,"Mobile County, AL",415395,16.1-18
1099,2015,Alabama,AL,1,"Monroe County, AL",21673,10.1-12
1101,2015,Alabama,AL,1,"Montgomery County, AL",226519,6.1-8
1103,2015,Alabama,AL,1,"Morgan County, AL",119565,14.1-16
1105,2015,Alabama,AL,1,"Perry County, AL",9652,8.1-10
1107,2015,Alabama,AL,1,"Pickens County, AL",20864,14.1-16
1109,2015,Alabama,AL,1,"Pike County, AL",33046,8.1-10
1111,2015,Alabama,AL,1,"Randolph County, AL",22696,14.1-16
1113,2015,Alabama,AL,1,"Russell County, AL",59660,12.1-14
1115,2015,Alabama,AL,1,"St. Clair County, AL",87074,16.1-18
1117,2015,Alabama,AL,1,"Shelby County, AL",208713,12.1-14
1119,2015,Alabama,AL,1,"Sumter County, AL",13103,6.1-8
1121,2015,Alabama,AL,1,"Talladega County, AL",80862,10.1-12
1123,2015,Alabama,AL,1,"Tallapoosa County, AL",40844,8.1-10
1125,2015,Alabama,AL,1,"Tuscaloosa County, AL",203976,14.1-16
1127,2015,Alabama,AL,1,"Walker County, AL",65294,26.1-28
1129,2015,Alabama,AL,1,"Washington County, AL",16804,6.1-8
1131,2015,Alabama,AL,1,"Wilcox County, AL",11059,8.1-10
1133,2015,Alabama,AL,1,"Winston County, AL",23877,12.1-14
2013,2015,Alaska,AK,2,"Aleutians East Borough, AK",3341,14.1-16
2016,2015,Alaska,AK,2,"Aleutians West Census Area, AK",5702,18.1-20
2020,2015,Alaska,AK,2,"Anchorage Borough, AK",298695,20.1-22
2050,2015,Alaska,AK,2,"Bethel Census Area, AK",17946,10.1-12
2060,2015,Alaska,AK,2,"Bristol Bay Borough, AK",892,20.1-22
2068,2015,Alaska,AK,2,"Denali Borough, AK",1919,10.1-12
2070,2015,Alaska,AK,2,"Dillingham Census Area, AK",4997,20.1-22
2090,2015,Alaska,AK,2,"Fairbanks North Star Borough, AK",99631,14.1-16
2100,2015,Alaska,AK,2,"Haines Borough, AK",2534,22.1-24
2110,2015,Alaska,AK,2,"Juneau Borough, AK",32756,16.1-18
2122,2015,Alaska,AK,2,"Kenai Peninsula Borough, AK",58059,24.1-26
2130,2015,Alaska,AK,2,"Ketchikan Gateway Borough, AK",13709,16.1-18
2150,2015,Alaska,AK,2,"Kodiak Island Borough, AK",13889,16.1-18
2164,2015,Alaska,AK,2,"Lake and Peninsula Borough, AK",1563,6.1-8
2170,2015,Alaska,AK,2,"Matanuska-Susitna Borough, AK",101095,22.1-24
2180,2015,Alaska,AK,2,"Nome Census Area, AK",9846,16.1-18
2185,2015,Alaska,AK,2,"North Slope Borough, AK",9687,8.1-10
2188,2015,Alaska,AK,2,"Northwest Arctic Borough, AK",7752,8.1-10
2201,2015,Alaska,AK,2,"Prince of Wales-Outer Ketchikan Census Area, AK",6341,14.1-16
2220,2015,Alaska,AK,2,"Sitka Borough, AK",8863,18.1-20
2232,2015,Alaska,AK,2,"Skagway-Hoonah-Angoon Census Area, AK",2133,10.1-12
2240,2015,Alaska,AK,2,"Southeast Fairbanks Census Area, AK",6839,12.1-14
2261,2015,Alaska,AK,2,"Valdez-Cordova Census Area, AK",9362,16.1-18
2270,2015,Alaska,AK,2,"Wade Hampton Census Area, AK",8119,10.1-12
2280,2015,Alaska,AK,2,"Wrangell-Petersburg Census Area, AK",3177,>30
2282,2015,Alaska,AK,2,"Yakutat Borough, AK",613,0-2
2290,2015,Alaska,AK,2,"Yukon-Koyukuk Census Area, AK",5533,20.1-22
4001,2015,Arizona,AZ,4,"Apache County, AZ",71474,12.1-14
4003,2015,Arizona,AZ,4,"Cochise County, AZ",126427,20.1-22
4005,2015,Arizona,AZ,4,"Coconino County, AZ",139097,16.1-18
4007,2015,Arizona,AZ,4,"Gila County, AZ",53159,>30
4009,2015,Arizona,AZ,4,"Graham County, AZ",37666,20.1-22
4011,2015,Arizona,AZ,4,"Greenlee County, AZ",9529,20.1-22
4012,2015,Arizona,AZ,4,"La Paz County, AZ",20152,>30
4013,2015,Arizona,AZ,4,"Maricopa County, AZ",4167947,22.1-24
4015,2015,Arizona,AZ,4,"Mohave County, AZ",204737,26.1-28
4017,2015,Arizona,AZ,4,"Navajo County, AZ",108277,22.1-24
4019,2015,Arizona,AZ,4,"Pima County, AZ",1010025,>30
4021,2015,Arizona,AZ,4,"Pinal County, AZ",406584,18.1-20
4023,2015,Arizona,AZ,4,"Santa Cruz County, AZ",46461,12.1-14
4025,2015,Arizona,AZ,4,"Yavapai County, AZ",222255,28.1-30
4027,2015,Arizona,AZ,4,"Yuma County, AZ",204275,14.1-16
5001,2015,Arkansas,AR,5,"Arkansas County, AR",18433,10.1-12
5003,2015,Arkansas,AR,5,"Ashley County, AR",20838,14.1-16
5005,2015,Arkansas,AR,5,"Baxter County, AR",41053,24.1-26
5007,2015,Arkansas,AR,5,"Benton County, AR",249672,12.1-14
5009,2015,Arkansas,AR,5,"Boone County, AR",37222,16.1-18
5011,2015,Arkansas,AR,5,"Bradley County, AR",11094,12.1-14
5013,2015,Arkansas,AR,5,"Calhoun County, AR",5229,18.1-20
5015,2015,Arkansas,AR,5,"Carroll County, AR",27704,20.1-22
5017,2015,Arkansas,AR,5,"Chicot County, AR",11027,16.1-18
5019,2015,Arkansas,AR,5,"Clark County, AR",22633,8.1-10
5021,2015,Arkansas,AR,5,"Clay County, AR",15109,14.1-16
5023,2015,Arkansas,AR,5,"Cleburne County, AR",25467,14.1-16
5025,2015,Arkansas,AR,5,"Cleveland County, AR",8311,12.1-14
5027,2015,Arkansas,AR,5,"Columbia County, AR",24114,10.1-12
5029,2015,Arkansas,AR,5,"Conway County, AR",21019,18.1-20
5031,2015,Arkansas,AR,5,"Craighead County, AR",104354,16.1-18
5033,2015,Arkansas,AR,5,"Crawford County, AR",61703,20.1-22
5035,2015,Arkansas,AR,5,"Crittenden County, AR",48963,10.1-12
5037,2015,Arkansas,AR,5,"Cross County, AR",17284,14.1-16
5039,2015,Arkansas,AR,5,"Dallas County, AR",7604,8.1-10
5041,2015,Arkansas,AR,5,"Desha County, AR",11965,14.1-16
5043,2015,Arkansas,AR,5,"Drew County, AR",18778,14.1-16
5045,2015,Arkansas,AR,5,"Faulkner County, AR",121552,12.1-14
5047,2015,Arkansas,AR,5,"Franklin County, AR",17702,22.1-24
5049,2015,Arkansas,AR,5,"Fulton County, AR",12204,24.1-26
5051,2015,Arkansas,AR,5,"Garland County, AR",97177,24.1-26
5053,2015,Arkansas,AR,5,"Grant County, AR",18102,12.1-14
5055,2015,Arkansas,AR,5,"Greene County, AR",44196,20.1-22
5057,2015,Arkansas,AR,5,"Hempstead County, AR",22084,8.1-10
5059,2015,Arkansas,AR,5,"Hot Spring County, AR",33426,12.1-14
5061,2015,Arkansas,AR,5,"Howard County, AR",13300,10.1-12
5063,2015,Arkansas,AR,5,"Independence County, AR",37052,12.1-14
5065,2015,Arkansas,AR,5,"Izard County, AR",13445,24.1-26
5067,2015,Arkansas,AR,5,"Jackson County, AR",17338,14.1-16
5069,2015,Arkansas,AR,5,"Jefferson County, AR",71565,6.1-8
5071,2015,Arkansas,AR,5,"Johnson County, AR",26141,14.1-16
5073,2015,Arkansas,AR,5,"Lafayette County, AR",6996,10.1-12
5075,2015,Arkansas,AR,5,"Lawrence County, AR",16779,16.1-18
5077,2015,Arkansas,AR,5,"Lee County, AR",9650,10.1-12
5079,2015,Arkansas,AR,5,"Lincoln County, AR",13820,8.1-10
5081,2015,Arkansas,AR,5,"Little River County, AR",12472,14.1-16
5083,2015,Arkansas,AR,5,"Logan County, AR",21714,18.1-20
5085,2015,Arkansas,AR,5,"Lonoke County, AR",71645,10.1-12
5087,2015,Arkansas,AR,5,"Madison County, AR",15767,10.1-12
5089,2015,Arkansas,AR,5,"Marion County, AR",16185,20.1-22
5091,2015,Arkansas,AR,5,"Miller County, AR",43908,8.1-10
5093,2015,Arkansas,AR,5,"Mississippi County, AR",43738,10.1-12
5095,2015,Arkansas,AR,5,"Monroe County, AR",7399,14.1-16
5097,2015,Arkansas,AR,5,"Montgomery County, AR",8970,18.1-20
5099,2015,Arkansas,AR,5,"Nevada County, AR",8558,12.1-14
5101,2015,Arkansas,AR,5,"Newton County, AR",7913,24.1-26
5103,2015,Arkansas,AR,5,"Ouachita County, AR",24358,12.1-14
5105,2015,Arkansas,AR,5,"Perry County, AR",10189,16.1-18
5107,2015,Arkansas,AR,5,"Phillips County, AR",19513,12.1-14
5109,2015,Arkansas,AR,5,"Pike County, AR",10824,16.1-18
5111,2015,Arkansas,AR,5,"Poinsett County, AR",24040,18.1-20
5113,2015,Arkansas,AR,5,"Polk County, AR",20216,18.1-20
5115,2015,Arkansas,AR,5,"Pope County, AR",63390,10.1-12
5117,2015,Arkansas,AR,5,"Prairie County, AR",8291,14.1-16
5119,2015,Arkansas,AR,5,"Pulaski County, AR",392664,14.1-16
5121,2015,Arkansas,AR,5,"Randolph County, AR",17469,16.1-18
5123,2015,Arkansas,AR,5,"St. Francis County, AR",26589,10.1-12
5125,2015,Arkansas,AR,5,"Saline County, AR",117460,14.1-16
5127,2015,Arkansas,AR,5,"Scott County, AR",10513,20.1-22
5129,2015,Arkansas,AR,5,"Searcy County, AR",7869,20.1-22
5131,2015,Arkansas,AR,5,"Sebastian County, AR",127780,20.1-22
5133,2015,Arkansas,AR,5,"Sevier County, AR",17290,14.1-16
5135,2015,Arkansas,AR,5,"Sharp County, AR",16912,26.1-28
5137,2015,Arkansas,AR,5,"Stone County, AR",12456,18.1-20
5139,2015,Arkansas,AR,5,"Union County, AR",40144,14.1-16
5141,2015,Arkansas,AR,5,"Van Buren County, AR",16771,12.1-14
5143,2015,Arkansas,AR,5,"Washington County, AR",225477,10.1-12
5145,2015,Arkansas,AR,5,"White County, AR",79161,12.1-14
5147,2015,Arkansas,AR,5,"Woodruff County, AR",6741,18.1-20
5149,2015,Arkansas,AR,5,"Yell County, AR",21713,14.1-16
6001,2015,California,CA,6,"Alameda County, CA",1638215,12.1-14
6003,2015,California,CA,6,"Alpine County, CA",1110,4.1-6
6005,2015,California,CA,6,"Amador County, CA",37001,22.1-24
6007,2015,California,CA,6,"Butte County, CA",225411,28.1-30
6009,2015,California,CA,6,"Calaveras County, CA",44828,20.1-22
6011,2015,California,CA,6,"Colusa County, CA",21482,10.1-12
6013,2015,California,CA,6,"Contra Costa County, CA",1126745,12.1-14
6015,2015,California,CA,6,"Del Norte County, CA",27254,20.1-22
6017,2015,California,CA,6,"El Dorado County, CA",184452,20.1-22
6019,2015,California,CA,6,"Fresno County, CA",974861,14.1-16
6021,2015,California,CA,6,"Glenn County, CA",28017,20.1-22
6023,2015,California,CA,6,"Humboldt County, CA",135727,>30
6025,2015,California,CA,6,"Imperial County, CA",180191,12.1-14
6027,2015,California,CA,6,"Inyo County, CA",18260,14.1-16
6029,2015,California,CA,6,"Kern County, CA",882176,24.1-26
6031,2015,California,CA,6,"Kings County, CA",150965,10.1-12
6033,2015,California,CA,6,"Lake County, CA",64591,>30
6035,2015,California,CA,6,"Lassen County, CA",31345,26.1-28
6037,2015,California,CA,6,"Los Angeles County, CA",10170292,16.1-18
6039,2015,California,CA,6,"Madera County, CA",154998,14.1-16
6041,2015,California,CA,6,"Marin County, CA",261221,14.1-16
6043,2015,California,CA,6,"Mariposa County, CA",17531,22.1-24
6045,2015,California,CA,6,"Mendocino County, CA",87649,22.1-24
6047,2015,California,CA,6,"Merced County, CA",268455,12.1-14
6049,2015,California,CA,6,"Modoc County, CA",8965,>30
6051,2015,California,CA,6,"Mono County, CA",13909,8.1-10
6053,2015,California,CA,6,"Monterey County, CA",433898,14.1-16
6055,2015,California,CA,6,"Napa County, CA",142456,10.1-12
6057,2015,California,CA,6,"Nevada County, CA",98877,18.1-20
6059,2015,California,CA,6,"Orange County, CA",3169776,12.1-14
6061,2015,California,CA,6,"Placer County, CA",375391,14.1-16
6063,2015,California,CA,6,"Plumas County, CA",18409,28.1-30
6065,2015,California,CA,6,"Riverside County, CA",2361026,14.1-16
6067,2015,California,CA,6,"Sacramento County, CA",1501335,16.1-18
6069,2015,California,CA,6,"San Benito County, CA",58792,10.1-12
6071,2015,California,CA,6,"San Bernardino County, CA",2128133,8.1-10
6073,2015,California,CA,6,"San Diego County, CA",3299521,14.1-16
6075,2015,California,CA,6,"San Francisco County, CA",864816,24.1-26
6077,2015,California,CA,6,"San Joaquin County, CA",726106,18.1-20
6079,2015,California,CA,6,"San Luis Obispo County, CA",281401,16.1-18
6081,2015,California,CA,6,"San Mateo County, CA",765135,10.1-12
6083,2015,California,CA,6,"Santa Barbara County, CA",444769,16.1-18
6085,2015,California,CA,6,"Santa Clara County, CA",1918044,8.1-10
6087,2015,California,CA,6,"Santa Cruz County, CA",274146,16.1-18
6089,2015,California,CA,6,"Shasta County, CA",179533,>30
6091,2015,California,CA,6,"Sierra County, CA",2967,26.1-28
6093,2015,California,CA,6,"Siskiyou County, CA",43554,22.1-24
6095,2015,California,CA,6,"Solano County, CA",436092,12.1-14
6097,2015,California,CA,6,"Sonoma County, CA",502146,14.1-16
6099,2015,California,CA,6,"Stanislaus County, CA",538388,22.1-24
6101,2015,California,CA,6,"Sutter County, CA",96463,12.1-14
6103,2015,California,CA,6,"Tehama County, CA",63308,14.1-16
6105,2015,California,CA,6,"Trinity County, CA",13069,22.1-24
6107,2015,California,CA,6,"Tulare County, CA",459863,12.1-14
6109,2015,California,CA,6,"Tuolumne County, CA",53709,28.1-30
